Mpio;Género;Edad;Educ;Cqt_bm;Problema;Gestión_Harry_González_Gestionpp;Gestion_Edwin_Valdéz_Gestionpp;Gestión_Álvaro_Pacheco_Gestionpp;GestiónAndrés_Perdomo_Gestión;Votopartd;Gob_vota;Gob_nuna_vota
FLORENCIA;Masculino;18-24;Universidad;Mal Camino;Deforestación;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;35-44;Secundaria;Buen Camino;Guerrilla;Desaprueba;Desaprueba;Aprueba;Aprueba;Ns / Nr;Oscar Conde Ortiz;Luis Antonio Ruiz Cicery
FLORENCIA;Masculino;45-54;Primaria;Buen Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Desaprueba;Alianza Verde;Luis Antonio Ruiz Cicery;Argenis Garavito Arévalo
FLORENCIA;Masculino;45-54;Primaria;Buen Camino;Guerrilla;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;45-54;Primaria;Mal Camino;Corrupción;Ns/Nr;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Oscar Conde Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;35-44;Secundaria;Ns / Nr;Inseguridad;Desaprueba;Desaprueba;Aprueba;Desaprueba;Alianza Verde;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Buen Camino;Ns/Nr;Aprueba;Ns/Nr;Aprueba;Ns/Nr;Partido de la U;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Mal Camino;Desempleo;Desaprueba;Ns/Nr;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Mal Camino;Desempleo;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;César Augusto Torres Ríos;Luis Antonio Ruiz Cicery
FLORENCIA;Femenino;35-44;Secundaria;Ns / Nr;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;35-44;Universidad;Mal Camino;Corrupción;Aprueba;Ns/Nr;Aprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Universidad;Mal Camino;Guerrilla;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Centro Democrático;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Posgrado;Mal Camino;Narcotráfico;Ns/Nr;Ns/Nr;Ns/Nr;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;35-44;Universidad;Mal Camino;Mototaxismo;Desaprueba;Aprueba;Ns/Nr;Ns/Nr;Ns / Nr;Luis Francisco Ruíz Aguilar;James Urrego Carvajal
FLORENCIA;Femenino;Mayor de 55;Primaria;Buen Camino;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Mira;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Corrupción;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Alianza Verde;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Secundaria;Mal Camino;Malla vial;Ns/Nr;Aprueba;Aprueba;Desaprueba;Ns / Nr;James Urrego Carvajal;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;25-34;Universidad;Mal Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Desaprueba;Polo Democrático Alternativo;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;35-44;Tecnología;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Alianza Verde;Luis Francisco Ruíz Aguilar;Luis Francisco Ruíz Aguilar
FLORENCIA;Femenino;35-44;Posgrado;Mal Camino;Salud;Ns/Nr;Ns/Nr;Ns/Nr;Ns/Nr;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;35-44;Universidad;Mal Camino;Desempleo;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Partido Conservador;Arnulfo Gasca Trujillo;James Urrego Carvajal
FLORENCIA;Femenino;18-24;Universidad;Mal Camino;Desempleo;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;Oscar Conde Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Malla vial;Desaprueba;Aprueba;Ns/Nr;Ns/Nr;Ns / Nr;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;18-24;Secundaria;Buen Camino;Ns/Nr;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Secundaria;Buen Camino;Corrupción;Desaprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;Ns/Nr;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Universidad;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Universidad;Mal Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Desaprueba;Polo Democrático Alternativo;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Masculino;35-44;Secundaria;Buen Camino;Vivienda;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Partido Conservador;James Urrego Carvajal;César Augusto Torres Ríos
FLORENCIA;Masculino;45-54;Posgrado;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Oscar Raúl Rojas;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;45-54;Posgrado;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Oscar Raúl Rojas;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;Mayor de 55;Universidad;Mal Camino;Corrupción;Desaprueba;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;18-24;Posgrado;Buen Camino;Corrupción;Aprueba;Ns/Nr;Aprueba;Desaprueba;Polo Democrático Alternativo;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Femenino;18-24;Universidad;Ns / Nr;Malla vial;Aprueba;Desaprueba;Aprueba;Ns/Nr;Partido Conservador;Arnulfo Gasca Trujillo;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;Mayor de 55;Primaria;Ns / Nr;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Ns/Nr;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;35-44;Secundaria;Buen Camino;Inseguridad;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Partido Conservador;Arnulfo Gasca Trujillo;Oscar Raúl Rojas
FLORENCIA;Femenino;Mayor de 55;Primaria;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Desaprueba;Centro Democrático;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Primaria;Buen Camino;Desempleo;Desaprueba;Aprueba;Desaprueba;Desaprueba;Partido Liberal;Oscar Raúl Rojas;César Augusto Torres Ríos
FLORENCIA;Femenino;18-24;Tecnología;Ns / Nr;Corrupción;Desaprueba;Desaprueba;Aprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Posgrado;Ns / Nr;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Ns/Nr;Ns / Nr;Ns/Nr;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Ns/Nr;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Universidad;Buen Camino;Ns/Nr;Aprueba;Ns/Nr;Aprueba;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;35-44;Secundaria;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Desaprueba;Aprueba;Mira;César Augusto Torres Ríos;Argenis Garavito Arévalo
FLORENCIA;Masculino;25-34;Secundaria;Mal Camino;Desempleo;Aprueba;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Primaria;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido de la U;Luis Antonio Ruiz Cicery;James Urrego Carvajal
FLORENCIA;Femenino;Mayor de 55;Primaria;Mal Camino;Desempleo;Desaprueba;Ns/Nr;Desaprueba;Desaprueba;Ns / Nr;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Desempleo;Desaprueba;Ns/Nr;Desaprueba;Desaprueba;Centro Democrático;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Primaria;Ns / Nr;Desempleo;Ns/Nr;Aprueba;Aprueba;Aprueba;Centro Democrático;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;45-54;Secundaria;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Partido Liberal;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Secundaria;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Desaprueba;Centro Democrático;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Masculino;25-34;Tecnología;Mal Camino;Explotación petrolera;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;35-44;Posgrado;Mal Camino;Deforestación;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Oscar Raúl Rojas;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Ns / Nr;Ns / Nr;Corrupción;Aprueba;Aprueba;Ns/Nr;Ns/Nr;Centro Democrático;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Buen Camino;Desempleo;Desaprueba;Desaprueba;Aprueba;Desaprueba;Alianza Verde;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Ns/Nr;Partido Liberal;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Femenino;35-44;Secundaria;Buen Camino;Desempleo;Ns/Nr;Ns/Nr;Aprueba;Ns/Nr;Ns / Nr;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Masculino;45-54;Secundaria;Mal Camino;Inseguridad;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Alianza Social Independiente - ASI;Luis Francisco Ruíz Aguilar;James Urrego Carvajal
FLORENCIA;Masculino;35-44;Secundaria;Mal Camino;Corrupción;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;Luis Antonio Ruiz Cicery;Luis Antonio Ruiz Cicery
FLORENCIA;Masculino;25-34;Secundaria;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Ns/Nr;Mira;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Ns/Nr;Alianza Verde;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Tecnología;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Aprueba;Centro Democrático;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;35-44;Universidad;Buen Camino;Educación;Desaprueba;Aprueba;Desaprueba;Ns/Nr;Alianza Social Independiente - ASI;Luis Antonio Ruiz Cicery;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;18-24;Tecnología;Buen Camino;Malla vial;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Primaria;Buen Camino;Desempleo;Ns/Nr;Desaprueba;Aprueba;Aprueba;Partido Liberal;Oscar Conde Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;45-54;Tecnología;Buen Camino;Inseguridad;Aprueba;Aprueba;Desaprueba;Aprueba;Partido de la U;James Urrego Carvajal;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;45-54;Secundaria;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;25-34;Secundaria;Mal Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Ns / Nr;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Ns/Nr;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;35-44;Secundaria;Mal Camino;Deforestación;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Alianza Verde;César Augusto Torres Ríos;Diego Ramírez Osorio
FLORENCIA;Femenino;25-34;Universidad;Buen Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Ns/Nr;Mira;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Ns / Nr;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Aprueba;Centro Democrático;César Augusto Torres Ríos;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Tecnología;Mal Camino;Vivienda;Aprueba;Desaprueba;Ns/Nr;Ns/Nr;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;35-44;Secundaria;Buen Camino;Corrupción;Desaprueba;Desaprueba;Aprueba;Aprueba;Partido Conservador;Arnulfo Gasca Trujillo;James Urrego Carvajal
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Desempleo;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Tecnología;Mal Camino;Inseguridad;Desaprueba;Desaprueba;Aprueba;Desaprueba;Ns / Nr;James Urrego Carvajal;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;25-34;Secundaria;Mal Camino;Malla vial;Aprueba;Ns/Nr;Desaprueba;Aprueba;Alianza Social Independiente - ASI;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;18-24;Tecnología;Buen Camino;Inseguridad;Aprueba;Aprueba;Aprueba;Aprueba;Partido Conservador;Oscar Raúl Rojas;James Urrego Carvajal
FLORENCIA;Masculino;35-44;Universidad;Buen Camino;Educación;Aprueba;Ns/Nr;Aprueba;Aprueba;Partido Conservador;Arnulfo Gasca Trujillo;Luz Mila Cicery Ortiz
FLORENCIA;Masculino;18-24;Tecnología;Buen Camino;Desempleo;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Alianza Verde;Ns/Nr;James Urrego Carvajal
FLORENCIA;Masculino;45-54;Primaria;Mal Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Conservador;César Augusto Torres Ríos;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;Mayor de 55;Universidad;Buen Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Conservador;César Augusto Torres Ríos;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;35-44;Primaria;Mal Camino;Deforestación;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Centro Democrático;Luis Antonio Ruiz Cicery;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;25-34;Tecnología;Ns / Nr;Inseguridad;Desaprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;Oscar Raúl Rojas;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Tecnología;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Alianza Verde;Luis Francisco Ruíz Aguilar;Luis Francisco Ruíz Aguilar
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Desempleo;Aprueba;Aprueba;Desaprueba;Desaprueba;Ns / Nr;Oscar Raúl Rojas;Ns/Nr
FLORENCIA;Femenino;25-34;Universidad;Mal Camino;Deforestación;Desaprueba;Desaprueba;Desaprueba;Aprueba;Polo Democrático Alternativo;César Augusto Torres Ríos;Luis Francisco Ruíz Aguilar
FLORENCIA;Femenino;18-24;Secundaria;Mal Camino;Inseguridad;Aprueba;Desaprueba;Desaprueba;Desaprueba;Cambio Radical;Luis Antonio Ruiz Cicery;Oscar Conde Ortiz
FLORENCIA;Femenino;Mayor de 55;Primaria;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Aprueba;Partido Liberal;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Masculino;35-44;Secundaria;Mal Camino;Inseguridad;Aprueba;Aprueba;Aprueba;Aprueba;Partido Liberal;César Augusto Torres Ríos;James Urrego Carvajal
FLORENCIA;Masculino;25-34;Secundaria;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Buen Camino;Deforestación;Aprueba;Ns/Nr;Aprueba;Aprueba;Partido de la U;Luz Mila Cicery Ortiz;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Ns / Nr;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;Luz Mila Cicery Ortiz;Ns/Nr
FLORENCIA;Femenino;45-54;Primaria;Mal Camino;Corrupción;Ns/Nr;Desaprueba;Ns/Nr;Desaprueba;Ns / Nr;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Femenino;35-44;Posgrado;Mal Camino;Corrupción;Aprueba;Desaprueba;Desaprueba;Desaprueba;Polo Democrático Alternativo;Oscar Raúl Rojas;Oscar Conde Ortiz
FLORENCIA;Femenino;Mayor de 55;Secundaria;Mal Camino;Inseguridad;Desaprueba;Aprueba;Desaprueba;Aprueba;Ns / Nr;Luis Francisco Ruíz Aguilar;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Universidad;Mal Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;Oscar Conde Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;35-44;Primaria;Buen Camino;Inseguridad;Desaprueba;Desaprueba;Aprueba;Desaprueba;Partido Conservador;Luis Francisco Ruíz Aguilar;Luis Francisco Ruíz Aguilar
FLORENCIA;Femenino;25-34;Tecnología;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Alianza Verde;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Primaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;45-54;Tecnología;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Tecnología;Buen Camino;Salud;Desaprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;Arnulfo Gasca Trujillo;César Augusto Torres Ríos
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Deforestación;Desaprueba;Ns/Nr;Aprueba;Desaprueba;Cambio Radical;César Augusto Torres Ríos;Luis Antonio Ruiz Cicery
FLORENCIA;Femenino;Mayor de 55;Primaria;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Cambio Radical;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Universidad;Buen Camino;Mototaxismo;Aprueba;Aprueba;Aprueba;Desaprueba;Partido Conservador;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Secundaria;Mal Camino;Inseguridad;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Polo Democrático Alternativo;Ns/Nr;Ns/Nr
