Municipio, ID, Usted_considera_que_Colombia_va_por_buen_camino_o_mal_camino, Usted_considera_que_el_departamento_de_Caqueta_va_por_buen_camino_o_mal_camino, De_los_siguientes_problemas_cual_cree_que_es_el_que_mas_afecta_a_su_municipio, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_los_siguientes_personajes_publicos_Representante_Harry_Giovanny_Gonzalez_Garcia, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_los_siguientes_personajes_publicos_Representante_Edwin_Alberto_Valdez_Rodriguez, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_los_siguientes_personajes_publicos_Gobernador_alvaro_Pacheco_alvarez, Con_cual_de_los_siguientes_partidos_o_movimientos_politicos_se_siente_mas_afin, Si_las_elecciones_para_elegir_Gobernador_del_Caqueta_fueran_hoy_por_cual_de_los_siguientes_candidatos_usted_votaria, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_el_Alcalde_de_Florencia_Andres_Mauricio_Perdomo_Lara, Estrato, Genero, Edad, ultimo_nivel_educativo, Estado_civil
FLORENCIA,74,Buen Camino,Buen Camino,Desempleo,Desaprueba,Aprueba,Desaprueba,Partido Liberal,Oscar Raúl Rojas,Desaprueba,1,Masculino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,75,Mal Camino,Ns / Nr,Corrupción,Desaprueba,Desaprueba,Aprueba,Ns / Nr,Ns/Nr,Desaprueba,2,Femenino,18-24,Tecnología,Soltero
FLORENCIA,76,Ns / Nr,Ns / Nr,Desempleo,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Ns/Nr,3,Masculino,Mayor de 55,Posgrado,Unión libre
FLORENCIA,77,Mal Camino,Mal Camino,Inseguridad,Desaprueba,Desaprueba,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,1,Femenino,35-44,Secundaria,Unión libre
FLORENCIA,78,Buen Camino,Buen Camino,Mototaxismo,Aprueba,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Aprueba,1,Femenino,25-34,Universidad,Casado
FLORENCIA,79,Ns / Nr,Buen Camino,Inseguridad,Aprueba,Ns/Nr,Desaprueba,Mira,César Augusto Torres Ríos,Aprueba,2,Masculino,35-44,Secundaria,Casado
FLORENCIA,80,Mal Camino,Mal Camino,Inseguridad,Aprueba,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,25-34,Secundaria,Soltero
FLORENCIA,81,Mal Camino,Buen Camino,Narcotráfico,Aprueba,Ns/Nr,Aprueba,Partido de la U,Luis Antonio Ruiz Cicery,Desaprueba,1,Masculino,45-54,Primaria,Unión libre
FLORENCIA,82,Mal Camino,Mal Camino,Desempleo,Desaprueba,Ns/Nr,Desaprueba,Ns / Nr,Luis Antonio Ruiz Cicery,Desaprueba,1,Femenino,Mayor de 55,Primaria,Soltero
FLORENCIA,83,Buen Camino,Mal Camino,Vivienda,Desaprueba,Ns/Nr,Desaprueba,Centro Democrático,Ns/Nr,Desaprueba,1,Masculino,Mayor de 55,Primaria,Casado
FLORENCIA,84,Buen Camino,Ns / Nr,Malla vial,Ns/Nr,Aprueba,Aprueba,Centro Democrático,Ns/Nr,Aprueba,1,Masculino,45-54,Primaria,Unión libre
FLORENCIA,85,Mal Camino,Mal Camino,Corrupción,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Luis Antonio Ruiz Cicery,Desaprueba,1,Femenino,45-54,Secundaria,Casado
FLORENCIA,86,Mal Camino,Mal Camino,Salud,Ns/Nr,Ns/Nr,Ns/Nr,Partido Liberal,Ns/Nr,Desaprueba,1,Masculino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,87,Mal Camino,Buen Camino,Inseguridad,Aprueba,Ns/Nr,Aprueba,Centro Democrático,Arnulfo Gasca Trujillo,Desaprueba,1,Femenino,25-34,Secundaria,Casado
FLORENCIA,88,Mal Camino,Mal Camino,Desempleo,Desaprueba,Desaprueba,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,25-34,Tecnología,Soltero
FLORENCIA,89,Mal Camino,Mal Camino,Corrupción,Desaprueba,Desaprueba,Desaprueba,Ns / Nr,Oscar Raúl Rojas,Desaprueba,2,Masculino,35-44,Posgrado,Unión libre
FLORENCIA,90,Mal Camino,Ns / Nr,Corrupción,Aprueba,Aprueba,Ns/Nr,Centro Democrático,Ns/Nr,Ns/Nr,1,Femenino,Mayor de 55,Ns / Nr,Separado/Viudo
FLORENCIA,91,Mal Camino,Buen Camino,Desempleo,Desaprueba,Desaprueba,Aprueba,Alianza Verde,Luis Antonio Ruiz Cicery,Desaprueba,1,Femenino,Mayor de 55,Primaria,Casado
FLORENCIA,92,Ns / Nr,Mal Camino,Salud,Ns/Nr,Ns/Nr,Ns/Nr,Partido Liberal,César Augusto Torres Ríos,Ns/Nr,1,Masculino,Mayor de 55,Primaria,Casado
FLORENCIA,93,Buen Camino,Buen Camino,Desempleo,Ns/Nr,Ns/Nr,Aprueba,Ns / Nr,Arnulfo Gasca Trujillo,Ns/Nr,1,Femenino,35-44,Secundaria,Unión libre
FLORENCIA,94,Mal Camino,Mal Camino,Mototaxismo,Desaprueba,Desaprueba,Desaprueba,Alianza Social Independiente - ASI,Luis Francisco Ruíz Aguilar,Desaprueba,3,Masculino,45-54,Secundaria,Unión libre
FLORENCIA,95,Mal Camino,Mal Camino,Corrupción,Aprueba,Ns/Nr,Desaprueba,Partido Liberal,Luis Antonio Ruiz Cicery,Desaprueba,1,Masculino,35-44,Secundaria,Unión libre
FLORENCIA,96,Buen Camino,Buen Camino,Inseguridad,Aprueba,Ns/Nr,Aprueba,Mira,César Augusto Torres Ríos,Ns/Nr,2,Masculino,25-34,Secundaria,Unión libre
FLORENCIA,97,Mal Camino,Mal Camino,Corrupción,Ns/Nr,Ns/Nr,Ns/Nr,Alianza Verde,César Augusto Torres Ríos,Ns/Nr,1,Masculino,Mayor de 55,Primaria,Casado
FLORENCIA,98,Buen Camino,Buen Camino,Salud,Aprueba,Ns/Nr,Aprueba,Centro Democrático,Luis Antonio Ruiz Cicery,Aprueba,2,Masculino,Mayor de 55,Tecnología,Soltero
FLORENCIA,99,Buen Camino,Buen Camino,Educación,Desaprueba,Aprueba,Desaprueba,Alianza Social Independiente - ASI,Luis Antonio Ruiz Cicery,Ns/Nr,1,Masculino,35-44,Universidad,Casado
FLORENCIA,100,Mal Camino,Buen Camino,Desempleo,Aprueba,Desaprueba,Aprueba,Partido Liberal,Ns/Nr,Desaprueba,1,Femenino,18-24,Tecnología,Soltero
FLORENCIA,101,Mal Camino,Buen Camino,Corrupción,Ns/Nr,Desaprueba,Aprueba,Partido Liberal,Oscar Conde Ortiz,Aprueba,2,Masculino,Mayor de 55,Primaria,Soltero
FLORENCIA,102,Buen Camino,Buen Camino,Desempleo,Aprueba,Aprueba,Desaprueba,Partido de la U,James Urrego Carvajal,Aprueba,1,Masculino,45-54,Tecnología,Unión libre
FLORENCIA,103,Mal Camino,Mal Camino,Desempleo,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Luis Antonio Ruiz Cicery,Desaprueba,2,Femenino,45-54,Secundaria,Soltero
FLORENCIA,104,Mal Camino,Mal Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Femenino,25-34,Secundaria,Casado
FLORENCIA,105,Ns / Nr,Ns / Nr,Salud,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Ns/Nr,1,Femenino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,106,Mal Camino,Mal Camino,Malla vial,Ns/Nr,Ns/Nr,Ns/Nr,Alianza Verde,César Augusto Torres Ríos,Desaprueba,2,Masculino,35-44,Secundaria,Soltero
FLORENCIA,107,Buen Camino,Buen Camino,Inseguridad,Desaprueba,Desaprueba,Desaprueba,Mira,Ns/Nr,Ns/Nr,3,Femenino,25-34,Universidad,Unión libre
FLORENCIA,108,Mal Camino,Ns / Nr,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Centro Democrático,César Augusto Torres Ríos,Aprueba,1,Femenino,Mayor de 55,Primaria,Casado
FLORENCIA,109,Mal Camino,Mal Camino,Educación,Aprueba,Desaprueba,Ns/Nr,Ns / Nr,Ns/Nr,Ns/Nr,2,Femenino,35-44,Tecnología,Casado
FLORENCIA,110,Buen Camino,Buen Camino,Corrupción,Desaprueba,Desaprueba,Aprueba,Partido Conservador,Arnulfo Gasca Trujillo,Aprueba,2,Masculino,35-44,Secundaria,Casado
FLORENCIA,111,Mal Camino,Mal Camino,Desempleo,Desaprueba,Desaprueba,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,2,Masculino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,112,Mal Camino,Mal Camino,Malla vial,Desaprueba,Desaprueba,Aprueba,Ns / Nr,James Urrego Carvajal,Desaprueba,2,Masculino,25-34,Tecnología,Unión libre
FLORENCIA,113,Ns / Nr,Mal Camino,Inseguridad,Aprueba,Ns/Nr,Desaprueba,Alianza Social Independiente - ASI,Luis Antonio Ruiz Cicery,Aprueba,2,Femenino,25-34,Secundaria,Unión libre
FLORENCIA,114,Buen Camino,Buen Camino,Malla vial,Aprueba,Aprueba,Aprueba,Partido Conservador,Oscar Raúl Rojas,Aprueba,2,Masculino,18-24,Tecnología,Soltero
FLORENCIA,115,Buen Camino,Buen Camino,Mototaxismo,Aprueba,Ns/Nr,Aprueba,Partido Conservador,Arnulfo Gasca Trujillo,Aprueba,2,Masculino,35-44,Universidad,Unión libre
FLORENCIA,116,Buen Camino,Buen Camino,Inseguridad,Desaprueba,Desaprueba,Desaprueba,Alianza Verde,Ns/Nr,Desaprueba,2,Masculino,18-24,Tecnología,Soltero
FLORENCIA,117,Mal Camino,Mal Camino,Corrupción,Aprueba,Desaprueba,Aprueba,Partido Conservador,César Augusto Torres Ríos,Desaprueba,2,Masculino,45-54,Primaria,Soltero
FLORENCIA,118,Buen Camino,Buen Camino,Inseguridad,Aprueba,Desaprueba,Aprueba,Partido Conservador,César Augusto Torres Ríos,Desaprueba,3,Masculino,Mayor de 55,Universidad,Casado
FLORENCIA,119,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Desaprueba,Centro Democrático,Luis Antonio Ruiz Cicery,Desaprueba,2,Masculino,35-44,Primaria,Soltero
FLORENCIA,120,Ns / Nr,Ns / Nr,Inseguridad,Desaprueba,Desaprueba,Aprueba,Partido Liberal,Oscar Raúl Rojas,Desaprueba,2,Femenino,25-34,Tecnología,Soltero
FLORENCIA,121,Mal Camino,Mal Camino,Corrupción,Desaprueba,Desaprueba,Desaprueba,Alianza Verde,Luis Francisco Ruíz Aguilar,Desaprueba,1,Femenino,35-44,Tecnología,Unión libre
FLORENCIA,122,Mal Camino,Mal Camino,Minería Ilegal,Aprueba,Aprueba,Desaprueba,Ns / Nr,Oscar Raúl Rojas,Desaprueba,1,Masculino,25-34,Universidad,Soltero
FLORENCIA,123,Mal Camino,Mal Camino,Educación,Desaprueba,Desaprueba,Desaprueba,Polo Democrático Alternativo,César Augusto Torres Ríos,Aprueba,2,Femenino,25-34,Universidad,Soltero
FLORENCIA,124,Mal Camino,Mal Camino,Desempleo,Aprueba,Desaprueba,Desaprueba,Cambio Radical,Luis Antonio Ruiz Cicery,Desaprueba,2,Femenino,18-24,Secundaria,Soltero
FLORENCIA,125,Buen Camino,Buen Camino,Inseguridad,Aprueba,Ns/Nr,Aprueba,Partido Liberal,César Augusto Torres Ríos,Aprueba,3,Femenino,Mayor de 55,Primaria,Casado
FLORENCIA,126,Mal Camino,Mal Camino,Desempleo,Aprueba,Aprueba,Aprueba,Partido Liberal,César Augusto Torres Ríos,Aprueba,2,Masculino,35-44,Secundaria,Casado
